Tweet,Suicide,Cleaned_Tweet
"@swingie Just had a conversation with @tonimassaar about how 'dependent' we seem to be of internet and mobile phones nowadays,",Not Suicide post,conversation dependent seem internet mobile phone nowadays
"@jrkgirlnla Oh yes, I was reading that one",Not Suicide post,oh yes reading one
My life is so miserable and it's not getting better.,Potential Suicide post ,life miserable getting better
"@LaPrincipessa you SAU! i stood up at 8. then off to offenbach, home. outside. sunshine. love you.",Not Suicide post,sau stood offenbach home outside sunshine love
She is not tired.,Not Suicide post,tired
RT @tamicakeyona: Being a single mommy was never part of the plan but I wake up everyday and do my shitðªð¾,Potential Suicide post ,rt single mommy never part plan wake everyday shit
"But what Bezos, de Blasio, and Cuomo have down is walked into our little lego town, kicked all of our lego towers aâ¦ https://t.co/WQqDasF7n4",Potential Suicide post ,bezos de blasio cuomo walked little lego town kicked lego tower
I want money,Not Suicide post,want money
"@HeavenlyHev how was it, so I know what to expect?",Not Suicide post,know expect
Mmm mummy's culinary skills has been improving. Smells so good! i'm loving home cooked food!,Not Suicide post,mmm mummy culinary skill improving smell good im loving home cooked food
i need to put myself to rest i ve crashed my motorcycle today i don t know how but i m mostly fine it was the most beautiful moment of my life i know it s sick to think that but it felt good to see people approach me to help me after the crash the feeling of my body being dragged by my bike for several meters on the ground looking at the sky while this one song played in my earphonesi ve just felt emptiness for the past yearsi don t want this second chance i want to get on my broken bike bring it up to speed one last time and then just end it all i just don t want to drown anymore please,Potential Suicide post ,need put rest crashed motorcycle today know mostly fine beautiful moment life know sick think felt good see people approach help crash feeling body dragged bike several meter ground looking sky one song played earphonesi felt emptiness past yearsi want second chance want get broken bike bring speed one last time end want drown anymore please
Brushin' mah teef. Secularly.,Not Suicide post,brushin mah teef secularly
i'll be in london today. Wave if you see me,Not Suicide post,ill london today wave see
@PeoplemapsJulie I am looking for the berocca then all will be well,Not Suicide post,looking berocca well
@nellypt Thank you I thought it was. Pass it around. Have a great day Luv ur stuff,Not Suicide post,thank thought pas around great day luv ur stuff
i wanna die. i donât deserve a piece of anything. i donât belong anywhere. iâm sick and tired of everything. the saâ¦ https://t.co/8hbfNffXii,Potential Suicide post ,wan na die dont deserve piece anything dont belong anywhere im sick tired everything sa
I fucking hate my whole family all they do is making me feel fat and I'm so done with feeling bad about my body andâ¦ https://t.co/eXWykCGcrf,Potential Suicide post ,fucking hate whole family making feel fat im done feeling bad body
@meerajane I luv your blog too! Fashion is &lt;3,Not Suicide post,luv blog fashion lt
@Maddierawrk Sorry for your loss. This post gave me goosebumps because although I havenât thought of suicide your dâ¦ https://t.co/VNpWHS2zqu,Potential Suicide post ,sorry loss post gave goosebump although havent thought suicide
"@MarkusLarockus Ha ha I started something with the Rocquestar thing, didn't I??",Not Suicide post,ha ha started something rocquestar thing didnt
"photoboth is black and white. and wayyyyy old. we call him Herbert lol. I love him, he's like a living legend. gotta love Berlin &lt;3",Not Suicide post,photoboth black white wayyyyy old call herbert lol love he like living legend got ta love berlin lt
@ErikAbele The one we were looking out for?,Not Suicide post,one looking
he want to kill her.,Not Suicide post,want kill
u - understand what the fuck im doing wrong with my life,Potential Suicide post ,u understand fuck im wrong life
"@RachelStarrxxx AWWWWWW, i really wish i could be there to give ya some serious TLC Rachel hun....sending ya huge HUGZ AND KISSES",Not Suicide post,awwwwww really wish could give ya serious tlc rachel hunsending ya huge hugz kiss
Looking for help on testing Prawn PDFs with Cucumber. All i can find is Prawn and Cucumber salad recipes! http://tinyurl.com/cnnn6z,Not Suicide post,looking help testing prawn pdfs cucumber find prawn cucumber salad recipe
@JoannaButler he should tell them that his sister fixed it,Not Suicide post,tell sister fixed
"Something weird in that I couldn't stop thinking about him, couldn't sleep. Then out of some old papers a card I diâ¦ https://t.co/eITpOD1uAT",Potential Suicide post ,something weird couldnt stop thinking couldnt sleep old paper card di
"Congratulations, John! I'm a creepy actor, not a sweet actor",Not Suicide post,congratulation john im creepy actor sweet actor
@fancyelastic He he! Thanks,Not Suicide post,thanks
in the photoshop,Not Suicide post,photoshop
@MizFitOnline normal workday for me. I do still have plans/aspirations to submit some info for the miz mag - honest i do.,Not Suicide post,normal workday still plansaspirations submit info miz mag honest
@noi27 Easy way is to go to MBK and get it hacked. @chuanjeng got a CN rom on his TH phone...,Not Suicide post,easy way go mbk get hacked got cn rom th phone
"@Farbelowaverag1,,And I just dont want to fucking be here anymore. Please someone just fucking end me because I know itll be worse for everyone if I do it myself and fuck do I want to but please please someone just kill me please",Potential Suicide post ,dont want fucking anymore please someone fucking end know itll worse everyone fuck want please please someone kill please
"i'm tired,",Not Suicide post,im tired
My Cullen family jewellery set arrived this morning! So happy!,Not Suicide post,cullen family jewellery set arrived morning happy
Getting ready to take kids to the farm,Not Suicide post,getting ready take kid farm
"@wolfiecomedy These boys might find it shocking that some internet stranger like myself would say ""fuck these guys""â¦ https://t.co/VNWeNO1cmv",Potential Suicide post ,boy might find shocking internet stranger like would say fuck guy
@StacyonBob I ate candy cigarettes but I didn't eat the wax once I drank the coke. I did however eat the candy lips.,Not Suicide post,ate candy cigarette didnt eat wax drank coke however eat candy lip
I damn near hate smoking by myself but sometimes I like it cause I canât finish blunts and I be having some for later.,Potential Suicide post ,damn near hate smoking sometimes like cause cant finish blunts later
is going to get some cereallllllll will be living off Lucky Charms next week! WOOPWOOP!,Not Suicide post,going get cereallllllll living lucky charm next week woopwoop
"&quot;tagged as: punk, punk rock, pop punk, new york, more people should listen to this band &quot; http://www.last.fm/music/Get+Bent",Not Suicide post,quottagged punk punk rock pop punk new york people listen band quot
@dianapmarez It's a great time in life! We can help you design an amazing wedding.,Not Suicide post,great time life help design amazing wedding
@vegale Wow! Wow! Good to hear,Not Suicide post,wow wow good hear
feeling overwhelmed and wanting to die i tried to kill myself today all i wanted was my boyfriend to help me somehow since he sees me on this depression spiral but all he says is it will get better i know it will but currently i feel trapped in my own home i have no friends and i constantly feel weak or unmotivated i have no desire to have sex with my partner and tend to find the worst in him lately i love him but some things he does amplifies my depression i dont want to die but when i get hurt lonely or overwhelmed the one thought i cant shake is killing myself ,Potential Suicide post ,feeling overwhelmed wanting die tried kill today wanted boyfriend help somehow since see depression spiral say get better know currently feel trapped home friend constantly feel weak unmotivated desire sex partner tend find worst lately love thing amplifies depression dont want die get hurt lonely overwhelmed one thought cant shake killing
Asking everyone to send out happy 'head-first' vibes to @cosmicgirlie,Not Suicide post,asking everyone send happy headfirst vibe
@kanter And waiting for sunrise in spring with an amazing colors,Not Suicide post,waiting sunrise spring amazing color
"@Lady_Twitster Good so far thanks, hope yours will treat you well too",Not Suicide post,good far thanks hope treat well
@OliviaCosmetics ok then might not be for a while though?,Not Suicide post,ok might though
"Itâs only the 12th and I have completed 75% of my selling goal, IâM HAPPY ð",Not Suicide post,th completed selling goal im happy
"@EmisonNaomily but still,i highkey want him to be dead. He f killed peach and beck ugh.Candice is back so imma justâ¦ https://t.co/5pBYOKbtRc",Potential Suicide post ,stilli highkey want dead f killed peach beck ughcandice back imma
@mikeyway http://twitpic.com/2tu6p - take care guys..!!,Not Suicide post,take care guy
My whole family is so damn beautiful and Iâm the start of the ugly generation of it and I just hate myself so much I canât even express it,Potential Suicide post ,whole family damn beautiful im start ugly generation hate much cant even express
"My co-workers are my guinea pigs. Lucky for them, I'm testing recipes from my Ultimate Cookie cook book.",Not Suicide post,coworkers guinea pig lucky im testing recipe ultimate cookie cook book
"Damn, i hate myself @EvoPvPServer",Potential Suicide post ,damn hate
@FrankDiElsi1 No I want him to get indicted &amp; watch the kids go to jail - I donât want him to die because the Trumpâ¦ https://t.co/BPMdXzujoo,Potential Suicide post ,want get indicted amp watch kid go jail dont want die trump
ok legit question can I fucking kill myself I'm 100% done with life,Potential Suicide post ,ok legit question fucking kill im done life
@willcarling How's the ski jumping going? Have you beat the missus yet?,Not Suicide post,hows ski jumping going beat missus yet
@lakezuriche I Hope I Fucken Change Cause Damn Do I Hate Myself!!!!!!!!,Potential Suicide post ,hope fucken change cause damn hate
Really good and helpful about the various Crisis in the DC Universe - I have read them all http://crisis2crisis.com/,Not Suicide post,really good helpful various crisis dc universe read
@EricBoehlert Nothing to live for? Why? Because you have been nasty?,Potential Suicide post ,nothing live nasty
had a lovely night with the best boyfriend and two very good friends,Not Suicide post,lovely night best boyfriend two good friend
my girlfriend left me i hate college i have no direction in life i just want to go to sleep and never wake up ive been thinking about suicide a lot recently and different methods the only reason i havent done it so far is because i am too much of a pussy i have access to enough drugs to overdose on i live near plenty of tall buildings i am seeing a therapist and psychiatrist all the pills they ve given me have only exacerbated my symptoms i dont care about leaving everything behind because i dont want to hurt the people around me but why should i go on living my shit life just so others arent inconvenienced one of these days i ll be drunk enough to finally pull the trigger figuratively literally ,Potential Suicide post ,girlfriend left hate college direction life want go sleep never wake ive thinking suicide lot recently different method reason havent done far much pussy access enough drug overdose live near plenty tall building seeing therapist psychiatrist pill given exacerbated symptom dont care leaving everything behind dont want hurt people around go living shit life others arent inconvenienced one day drunk enough finally pull trigger figuratively literally
@KateEdwards you dont have to bring anything - it's yr place #katesparty,Not Suicide post,dont bring anything yr place
Rosie: âdoes he think Iâm gonna be single forever?â,Potential Suicide post ,rosie think im gon na single forever
@codyks Chick-Fil-A = bonus.,Not Suicide post,chickfila bonus
@Fred0828 yeah 16kg is around 40lbs Glad you liked the interview I did with Steve Cotter; Quigong is sucha valuable part of any training,Not Suicide post,yeah kg around lb glad liked interview steve cotter quigong sucha valuable part training
@theosoft What do you want to know about MODx cms? Maybe I can help you,Not Suicide post,want know modx cm maybe help
"i'm home from school, yay! wasn't that bad actually, and i had a nice dinner with graceeeeee.",Not Suicide post,im home school yay wasnt bad actually nice dinner graceeeeee
"im hoping my stress level will go down when my aunt is gone... i cant relax, am exhausted, and can't focus on a damâ¦ https://t.co/7eRvPZ4rpS",Potential Suicide post ,im hoping stress level go aunt gone cant relax exhausted cant focus dam
@ghostbusterz a friend i knew online from last night finally added me up on his messenger.,Not Suicide post,friend knew online last night finally added messenger
I jst sneezed twice. Me thinks there's at least one ghost in my house now.,Not Suicide post,jst sneezed twice think there least one ghost house
@WANICULLEN Thanks Wani,Not Suicide post,thanks wani
@vanessawhite Haha Get all your Stress out x,Not Suicide post,haha get stress x
@_nanu_ just added a little more grist to the mill,Not Suicide post,added little grist mill
"@niki_dyer @marcorubio You want every vote counted no matter if the voter is dead, move to a different precinct, ouâ¦ https://t.co/nC8PdOqUvU",Potential Suicide post ,want every vote counted matter voter dead move different precinct ou
@yogadork our barefoot range is a great alternative when you need to wear shoes. they allow you foot move as though it were barefoot,Not Suicide post,barefoot range great alternative need wear shoe allow foot move though barefoot
there are no perks of being this ugly i deserve an award or something at least if iâm gonna die alone,Potential Suicide post ,perk ugly deserve award something least im gon na die alone
RT @camphalfblood: Random commenter asked why I had such an extreme social warrior agenda in Magnus Chase. What he calls extreme social jusâ¦,Potential Suicide post ,rt random commenter asked extreme social warrior agenda magnus chase call extreme social jus
It's Tuesday...at work...still riding the high from the workout last night. It should be a good day!,Not Suicide post,tuesdayat workstill riding high workout last night good day
So sad that I can't protect these cats and I don't know whats ever bothering them. I don't know why this stuff hasâ¦ https://t.co/SDrCTy43V3,Potential Suicide post ,sad cant protect cat dont know whats ever bothering dont know stuff
Never been to war but I get terrible nightmares that wake me up fighting for my life. #thisisus #ptsd,Potential Suicide post ,never war get terrible nightmare wake fighting life
Cool http://www.onlinemarktplatz.de/14177/twitter-fieber-bei-ebay/ ;_),Not Suicide post,cool
ok that dinner rocked,Not Suicide post,ok dinner rocked
stuck every time i try and kill myself i cant go through with it but i cant keep living feeling this way why cant i just let myself die,Potential Suicide post ,stuck every time try kill cant go cant keep living feeling way cant let die
Damn .. I hate when I type so fast and the autocorrect changes go unnoticed ..smh at myself ð¤¦ð½ââï¸,Potential Suicide post ,damn hate type fast autocorrect change go unnoticed smh
RT @sirpatricia: //shes doing her best https://t.co/tARP6gNDlu,Not Suicide post,rt shes best
@bobby_bobbles @snovvvhite live your best life,Not Suicide post,live best life
All I want is the truth.,Not Suicide post,want truth
@sandieb321 We are not fussy about age here as long as females are between 18-25 . I changed the rules. lol,Not Suicide post,fussy age long female changed rule lol
Iâm just gonna go ahead and kill myself. Already done for the fucking day.,Potential Suicide post ,im gon na go ahead kill already done fucking day
i cannot wait for my mum to fucking die all i wait is for her to die then i am going to lie under the train that very day and foolow suiti cannot wait i would kill her to be able to kill myself sooner but we are two in a very intimate relationship in short i can not kill her guns are forbiden in my country i have got only a knife or a brick to do it and so i cant do it it s very bloody and slow method cannot do anything my tonsils stink i hate human stench in all forms except dashas shits i hate my body hate arteries these nose and lips and saliva and eyes and all i hate human body except dashas one i want to fuck and to be with my dasha ,Potential Suicide post ,wait mum fucking die wait die going lie train day foolow suiti wait would kill able kill sooner two intimate relationship short kill gun forbiden country got knife brick cant bloody slow method anything tonsil stink hate human stench form except dashas shit hate body hate artery nose lip saliva eye hate human body except dashas one want fuck dasha
"@TaniaUncensored tania, i think you should get athene and the rest of the crew on twitter",Not Suicide post,tania think get athene rest crew twitter
@jackhii n i got yr pic posing in the server room ..,Not Suicide post,n got yr pic posing server room
Bye bye!! Going to sleep!! (finally!!) XDDDD :-D :-P,Not Suicide post,bye bye going sleep finally xdddd p
Working on a film. Have been busy. Have a nice day everyone,Not Suicide post,working film busy nice day everyone
i want to die where can i go to commit suicide give me an injection as i am unconconscious and end my nightmare life i want to die,Potential Suicide post ,want die go commit suicide give injection unconconscious end nightmare life want die
I want to play with it.,Not Suicide post,want play
Thanks to everyone who's sent me work this year... You'll pleased to know I've just planted 85 trees in India with some of the profits x,Not Suicide post,thanks everyone who sent work year youll pleased know ive planted tree india profit x
this is my notice of me giving up on life n becoming an alcoholic bc i'm miserable n want to die farewell ill be drunk,Potential Suicide post ,notice giving life n becoming alcoholic bc im miserable n want die farewell ill drunk
New iPhone is completely updated Sun shining in Derry - tis a pretty day,Not Suicide post,new iphone completely updated sun shining derry ti pretty day
I want to be a doctor.,Not Suicide post,want doctor
"@TomFelton Cash in the Attic is OK, I prefer Homes Under the Hammer, haha I do love being off school...",Not Suicide post,cash attic ok prefer home hammer haha love school
Ill ride for my dawgs any day but at the end of the day. I already know where the streets can take you &amp; I what hapâ¦ https://t.co/Pqys3uWHkj,Potential Suicide post ,ill ride dawgs day end day already know street take amp hap
i want her,Not Suicide post,want
"@FoxWhisperer Well compared to other areas west of us, I'll take our 50 degrees and run with it",Not Suicide post,well compared area west u ill take degree run
"@inspireinspire aw, I am so jealous! ) please, take me with you",Not Suicide post,aw jealous please take
"@308Olsen,Blaine, MN,I dont want to be here anymore.",Potential Suicide post ,blaine mni dont want anymore
"Scared of death, tired of living.",Potential Suicide post ,scared death tired living
@tmotsenbocker @TheAcademic @judahandthelion Take it all back was so fun https://t.co/iewkzKosB8,Not Suicide post,take back fun
Ive had enough of life and the pain it causes,Potential Suicide post ,ive enough life pain cause
Omg the cringe I cant,Potential Suicide post ,omg cringe cant
@lilyroseallen i love your shh tattoo - did it hurt? i think i'm gonna get it,Not Suicide post,love shh tattoo hurt think im gon na get
"@cgupi1,,RT @caringcorbyn: i literally cant explain everything so much has happened i dont wanna be here anymore. wtf is even the point. i literallyâ¦",Potential Suicide post ,rt literally cant explain everything much happened dont wan na anymore wtf even point literally
i want him,Not Suicide post,want
had a juice box this morning. You never know the joy a juice box can bring until you have one later on in life.,Not Suicide post,juice box morning never know joy juice box bring one later life
She didn't want him to go out with other women,Not Suicide post,didnt want go woman
@adalinemusic you're welcome! It was a great way to be introduced to your music,Not Suicide post,youre welcome great way introduced music
@Cookieex3 awesome!! Can't wait to see it!!,Not Suicide post,awesome cant wait see
My heart is so crushed.,Potential Suicide post ,heart crushed
ooo apple store is down ... so close? Credit card ready,Not Suicide post,ooo apple store close credit card ready
youâve changed for the fucking worse. i cant believe that you could really go back on all ur hard work like that,Potential Suicide post ,youve changed fucking worse cant believe could really go back ur hard work like
"Not just because the House has NEVER had a Black woman in leadership, but becauseâ¦",Not Suicide post,house never black woman leadership
@SUMMERWALKER hey Golden is here with me and just wanted to say Hi and have a great morning,Not Suicide post,hey golden wanted say hi great morning
Goooooood morning Twitter-World!,Not Suicide post,goooooood morning twitterworld
@emilylagrange a revolution in household detergent introducing #kidscleaning get one now while stocks last,Not Suicide post,revolution household detergent introducing get one stock last
everything that youâve ever dreamed of,Potential Suicide post ,everything youve ever dreamed
@taylorchoi congrats!!!!! Ill def go and support the TC Media takeover,Not Suicide post,congrats ill def go support tc medium takeover
Going to bed goodnightttttt!,Not Suicide post,going bed goodnightttttt
Going to school and enjoying my last day as a 16 year old but too,Not Suicide post,going school enjoying last day year old
@pviktor Hmmm...not good...carrot juice and marmalade on toast may help?,Not Suicide post,hmmmnot goodcarrot juice marmalade toast may help
Im tired and sick of everything I wanna die ... https://t.co/w04RQCbvNV,Potential Suicide post ,im tired sick everything wan na die
RT @MarvelStudios: âNo one has had more of an impact on my career and everything we do at Marvel Studios than Stan Lee. Stan leaves an extrâ¦,Not Suicide post,rt one impact career everything marvel studio stan lee stan leaf extr
"9 months ago my grandmother passed away, 8 months ago I got my heart completely broken, 7 months ago I almost attemâ¦ https://t.co/ooZMFRvuD1",Potential Suicide post ,month ago grandmother passed away month ago got heart completely broken month ago almost attem
@that_groyper Really tired of everything. It's all just so lame and gay. Nothing serious us ever going to happen anâ¦ https://t.co/swSugXE6ua,Potential Suicide post ,really tired everything lame gay nothing serious u ever going happen
trying to figure out how this works!,Not Suicide post,trying figure work
My life is miserable,Potential Suicide post ,life miserable
Positive Mental Attitude - Today can't be as bad as yesterday.,Not Suicide post,positive mental attitude today cant bad yesterday
good morning all,Not Suicide post,good morning
YaY!! Just found out Amy is having a Girl!! LiL Bonita!! Im so excited..now I can go by little girly things for the babes,Not Suicide post,yay found amy girl lil bonita im excitednow go little girly thing babe
I am constantly amazed by our technology. It makes me wonder. Now check out this rad song! &quot;Tripping&quot; ? http://twt.fm/33023,Not Suicide post,constantly amazed technology make wonder check rad song quottrippingquot
Damn I fucking HATE myself,Potential Suicide post ,damn fucking hate
snuggling in bed with my little baby....ahhhh!,Not Suicide post,snuggling bed little babyahhhh
mhm up. ohh early for me!- &amp; i feel like whatching Open arms again [by gary go],Not Suicide post,mhm ohh early amp feel like whatching open arm gary go
@goobimama @EventBox isn't the best Twitter client for me. It's the simplicity and all-in-1 that makes me love it,Not Suicide post,isnt best twitter client simplicity allin make love
"@semblance_er AHHHH yeah i was, but their updates were boring me so &quot;unfollowed&quot; them. you'll have to win and take me on holiday",Not Suicide post,ahhhh yeah update boring quotunfollowedquot youll win take holiday
"@LizzieLib Could be - mine grew out, down my back and then all fell off",Not Suicide post,could mine grew back fell
RT @lisapryor23: @MillwallFC @zampathelion what a fun day ! https://t.co/jr18uTkFX4,Not Suicide post,rt fun day
"@vascopatricio Vou ler! ATD foi uma maratona.. Let's just say I'm glad it's over, lol.",Not Suicide post,vou ler atd foi uma maratona let say im glad lol
"laughter is indeed the best medicine! whatever ur situation today,find a reason 2 smile wholeheartedly! God is good,faithful&amp;loves u &lt;3",Not Suicide post,laughter indeed best medicine whatever ur situation todayfind reason smile wholeheartedly god goodfaithfulamploves u lt
"@bradesposito They want people like me dead. They don't want to help me. If I was in Canada, Israel or Germany I woâ¦ https://t.co/UEfZi9HniT",Potential Suicide post ,want people like dead dont want help canada israel germany wo
enjoyed the N-Dubz gig last night - and it finished early which is always a bonus,Not Suicide post,enjoyed ndubz gig last night finished early always bonus
i think its tonight because i dont care and i have nothing left i dont care i had something so great so promising and they stripped it down past the bone into splinters then pissed on the splinters i dont want happiness i dont want dreams i dont care that if i post a note everyone will desperately try to stop me i know they ll care when i am about to die or dead i am numb i am no longer scared and the hurt is too much i gotta go i have nothing left i had a lot of love to give but its gone with me i just wanted someone to hear me before the end ,Potential Suicide post ,think tonight dont care nothing left dont care something great promising stripped past bone splinter pissed splinter dont want happiness dont want dream dont care post note everyone desperately try stop know care die dead numb longer scared hurt much got ta go nothing left lot love give gone wanted someone hear end
RT @Mylingo11: Never get too attach cause  people wake up with  different feelings everyday.,Potential Suicide post ,rt never get attach cause people wake different feeling everyday
do you ever feel empty and you had to pick a number from 15 depending how you feel about it i could write my funeral speech now but what is the point in afew years i would be forgotten anyway ,Potential Suicide post ,ever feel empty pick number depending feel could write funeral speech point afew year would forgotten anyway
@Cellobella They don't do them in my size How r u?,Not Suicide post,dont size r u
"It snowed! Okay, there's not enough to build Frosty, but it snowed. As long as it's cold, it might as well snow...Enjoy your day",Not Suicide post,snowed okay there enough build frosty snowed long cold might well snowenjoy day
"YALL im sad cause I keep seeing tweets about invisible and the fact that it was a suicide note, and like I alreadyâ¦ https://t.co/FTr8WA8GLz",Potential Suicide post ,yall im sad cause keep seeing tweet invisible fact suicide note like already
RT @B8SSONS: i hate feeling the way i do,Potential Suicide post ,rt hate feeling way
glad to see spring making a comeback in Denver today!,Not Suicide post,glad see spring making comeback denver today
@avalanchelynn hello!! g'mrng!! wuzup?!? hows twitterville while i was sleeping? evrythings cool?,Not Suicide post,hello gmrng wuzup hows twitterville sleeping evrythings cool
"@richard_bell nah, I think going sideways is best, really helps when dodging bullets",Not Suicide post,nah think going sideways best really help dodging bullet
Iâm so done with today like I just want to fucking kill myself,Potential Suicide post ,im done today like want fucking kill
@familychoice If you have any questions feel free to email us at sales@jshop.co.uk or send a DM on Twitter,Not Suicide post,question feel free email u salescouk send dm twitter
"Itâs been nearly three years, but I still feel that Kylo/Ben Solo doesnât deserve redemption. The man killed his owâ¦ https://t.co/a69qtrMkh7",Potential Suicide post ,nearly three year still feel kyloben solo doesnt deserve redemption man killed ow
"All right so that's 200 for slytherin, 590 for hufflepuff and 520 for ravenclaw. Sadly I'll have to cut these sprinâ¦ https://t.co/jjn5aEzAtu",Potential Suicide post ,right thats slytherin hufflepuff ravenclaw sadly ill cut sprin
ba't ko kinakaawaan sarili ko at iniisip na yung iba naiisip din ako? damn! hate myself. It's just me. ð¤¦,Potential Suicide post ,bat ko kinakaawaan sarili ko iniisip na yung iba naiisip din ako damn hate
@hillkath Hey there! Sent you a DM.,Not Suicide post,hey sent dm
@SILVERSUN You make the milk look REALLY good in your pictures,Not Suicide post,make milk look really good picture
@solareclipse2k http://twitpic.com/2y3i4 - Totally love this pic! Are you singing it in Finnish?,Not Suicide post,totally love pic singing finnish
@JonathanRKnight,Not Suicide post,
"@catherinemarche Ooh, that's lovely",Not Suicide post,ooh thats lovely
"@geuphers, you will fully bloom after all the hardships. i love u ):",Not Suicide post,fully bloom hardship love u
"@myselfmp3 Aw I'm so sorry, try not to let it get to you too much, they obviously didn't deserve you in the first pâ¦ https://t.co/F3aDF3M6U0",Potential Suicide post ,aw im sorry try let get much obviously didnt deserve first p
Showcase Quick @ VIP romm on Thursday,Not Suicide post,showcase quick vip romm thursday
@MatthewTurnbull is that me? tony price is on here too as is fab,Not Suicide post,tony price fab
Hey Mariedees! Welcome to our Twitter feed! G'mornin' to ya!,Not Suicide post,hey mariedees welcome twitter feed gmornin ya
@TradingGoddess wow that was an experience you don't need to see repeated again glad he is ok.,Not Suicide post,wow experience dont need see repeated glad ok
embedding a google calendar into a site is actually seriously easy,Not Suicide post,embedding google calendar site actually seriously easy
I die a little inside when I see an old person eating alone at a restaurant.,Potential Suicide post ,die little inside see old person eating alone restaurant
I hate repeating myself dawg. like damn.,Potential Suicide post ,hate repeating dawg like damn
